#TYPE Selected.System.String
"CreationTime","LastAccessTime","LastWriteTime","Attributes","Owner","FullName","Sign","MD5"
"2019-12-07 16:14:54","2021-06-04 08:55:04","2021-05-12 13:37:23","","BUILTIN\Administrators","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\desktop.ini",,"5B8D26A2C58E2A42D0C6A66265C93CF9"
"2019-12-07 16:14:54","2021-06-04 08:55:18","2021-01-14 13:38:38","","BUILTIN\Administrators","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessibility\desktop.ini",,"2DB341606A8D0E39C81A95A64ED33C84"
"2019-12-07 16:14:54","2021-06-04 08:55:18","2021-05-12 13:37:23","","BUILTIN\Administrators","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\desktop.ini",,"C6377384BE3DC3E78C35770862975E0D"
"2019-12-07 16:15:02","2021-06-04 08:55:18","2019-12-07 16:12:47","","BUILTIN\Administrators","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\desktop.ini",,"4F6C7327201FEACE952F9435B2EB1F46"
"2019-12-07 16:14:54","2021-06-04 08:55:18","2021-04-20 14:02:37","","BUILTIN\Administrators","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\desktop.ini",,"1821535DA5F7B2164FAB01EBAAA5DA2D"
"2019-12-07 16:14:54","2021-06-04 08:55:36","2019-12-07 16:12:42","","BUILTIN\Administrators","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance\Desktop.ini","(Verified) Microsoft Corporation","CAC4D0F604168B35338F40B0FE08C453"
"2021-04-29 18:19:15","2021-06-04 08:55:18","2021-04-29 18:19:16","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office 2016 Tools\desktop.ini",,"571316145295414F5EB4FC9FD4E38AC5"
"2019-12-07 16:14:54","2021-06-04 08:55:18","2019-12-07 16:12:42","","BUILTIN\Administrators","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\desktop.ini","(Verified) Microsoft Corporation","7F1698BAB066B764A314A589D338DAAE"
"2019-12-07 16:14:54","2021-06-04 08:55:18","2021-03-11 21:03:31","","BUILTIN\Administrators","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\System Tools\desktop.ini",,"AB006EAB28F3CFE4344B7DB45C67092D"
"2019-12-07 16:53:10","2021-06-04 08:55:18","2019-12-07 16:53:10","","BUILTIN\Administrators","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\desktop.ini",,"3AA1D8D650944F797F80D23D67A2F335"
"2021-06-04 08:55:02","2021-06-04 08:55:02","2021-06-04 08:55:02","",,"C:\ProgramData\Microsoft\Windows Defender\IMpService77BDAF73-B396-481F-9042-AD358843EC24.lock",,
"2019-12-07 16:14:52","2021-06-04 08:57:09","2019-12-07 16:14:52","<Dir>","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft\WinMSIPC\Server",,
"2019-12-07 16:14:52","2021-06-04 08:57:09","2019-12-07 16:14:52","<Dir>","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft\WwanSvc\DMProfiles",,
"2019-12-07 16:14:52","2021-06-04 08:57:09","2019-12-07 16:14:52","<Dir>","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft\WwanSvc\Profiles",,
"2021-04-29 18:17:30","2021-06-03 10:53:18","2021-04-29 18:17:30","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\MS.EXCEL.16.1033.hxn",,"654F87A45B256AA4AD341C200C28B585"
"2021-04-29 18:17:28","2021-06-03 10:53:18","2021-04-29 18:17:28","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\MS.GRAPH.16.1033.hxn",,"C77D8E861210A76079F23348F1C35438"
"2021-04-29 18:17:31","2021-06-03 10:53:18","2021-04-29 18:17:31","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\MS.GROOVE.16.1033.hxn",,"98DDAE3F907B220ADEBFCC8974C10E24"
"2021-04-29 18:17:28","2021-06-03 10:53:18","2021-04-29 18:17:28","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\MS.MSOUC.16.1033.hxn",,"BA470FF54D2D0522C1A1D31671ADCC8B"
"2021-04-29 18:17:44","2021-06-03 10:53:18","2021-04-29 18:17:44","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\MS.MSPUB.16.1033.hxn",,"A45AFB61DF2B0DDEF0138D4B70160A16"
"2021-04-29 18:17:37","2021-06-03 10:53:18","2021-04-29 18:17:37","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\MS.ONENOTE.16.1033.hxn",,"931B4114A34620751BF85F78A8BE6C6D"
"2021-04-29 18:17:36","2021-06-03 10:53:18","2021-04-29 18:17:36","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\MS.OUTLOOK.16.1033.hxn",,"DF6195CE3A167F8F67A49B575A343266"
"2021-04-29 18:17:43","2021-06-03 10:53:18","2021-04-29 18:17:43","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\MS.POWERPNT.16.1033.hxn",,"EF4ADFDC688B31405358058C4F32FCBB"
"2021-04-29 18:17:28","2021-06-03 10:53:18","2021-04-29 18:17:28","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\MS.SETLANG.16.1033.hxn",,"8FD90CF5F0633C139780BA567BD6B9F0"
"2021-04-29 18:17:45","2021-06-03 10:53:18","2021-04-29 18:17:46","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\MS.WINWORD.16.1033.hxn",,"8C216D37A4D95E89A29719A2F24AF869"
"2021-04-29 18:17:28","2021-06-03 10:53:18","2021-04-29 18:17:46","","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft Help\nslist.hxl",,"5021C7444AC32DACFF16DB10F3EAE3B3"
"2019-12-07 16:30:39","2019-12-07 16:30:39","2019-12-07 16:30:39","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\All Users",,
"2019-12-07 16:03:44","2021-06-04 08:57:09","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default",,
"2019-12-07 16:30:39","2019-12-07 16:30:39","2019-12-07 16:30:39","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default User",,
"2019-12-07 16:14:54","2021-06-04 08:55:04","2019-12-07 16:12:42","","BUILTIN\Administrators","C:\Users\desktop.ini","(Verified) Microsoft Corporation","6B1A6A9959CE35FA0DF98F8E602BB191"
"2020-10-08 23:42:13","2020-10-08 23:42:13","2020-10-08 23:42:13","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\All Users\Application Data",,
"2020-10-08 23:42:13","2020-10-08 23:42:13","2020-10-08 23:42:13","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\All Users\Desktop",,
"2020-10-08 23:42:13","2020-10-08 23:42:13","2020-10-08 23:42:13","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\All Users\Documents",,
"2020-10-08 23:42:13","2020-10-08 23:42:13","2020-10-08 23:42:13","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\All Users\Start Menu",,
"2020-10-08 23:42:13","2020-10-08 23:42:13","2020-10-08 23:42:13","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\All Users\Templates",,
"2020-10-08 14:28:49","2021-06-04 08:57:07","2020-10-08 18:49:49","<Dir>","BUILTIN\Administrators","C:\Users\All Users\chocolatey\.chocolatey",,
"2019-12-07 16:14:52","2021-06-04 08:57:08","2019-12-07 16:14:52","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft\Settings",,
"2019-12-07 16:14:52","2021-06-04 08:57:09","2019-12-07 16:31:03","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft\WwanSvc",,
"2019-12-07 16:14:52","2021-06-04 08:57:08","2019-12-07 16:14:52","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft\DRM\Server",,
"2020-10-08 09:49:05","2021-06-04 08:57:09","2020-10-08 09:49:05","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft\Windows\DeviceMetadataCache\dmrccache\downloads",,
